key,name,id
A1-C,A1-C,a1-c
A2-C,A2-C,a2-c
A3-L,A3-L,a3-l
A4-S,A4-S,a4-s
A5-L,A5-L,a5-l
A6-S,A6-S,a6-s
A7-S,A7-S,a7-s
A8-S,A8-S,a8-s
A9-S,A9-S,a9-s
A10-L,A10-L,a10-l
A11-S,A11-S,a11-s
A12-C,A12-C,a12-c
A13-C,A13-C,a13-c
B3-L,B3-L,b3-l
B4-S,B4-S,b4-s
B5-L,B5-L,b5-l
B6-S,B6-S,b6-s
B7-S,B7-S,b7-s
B8-S,B8-S,b8-s
B9-S,B9-S,b9-s
B10-L,B10-L,b10-l
B11-S,B11-S,b11-s
LT1,LT1,lt1
LT2,LT2,lt2
LT3,LT3,lt3
LT4,LT4,lt4
LT5,LT5,lt5
LT6,LT6,lt6
LT7,LT7,lt7
LT8,LT8,lt8
HO1,HO1,ho1
HO2,HO2,ho2
