key,start,duration,row.span,row.start,row.end
opening,10:00,10,1,1,2
a1-c,10:10,20,3,2,5
a2-c,10:30,20,3,5,8
a-break-1,10:50,10,1,8,9
b-break-1,10:50,10,1,8,9
a3-l,11:00,40,4,9,13
b3-l,11:00,40,4,9,13
a4-s,11:40,20,2,13,15
b4-s,11:40,20,2,13,15
a-lunch,12:00,70,7,15,22
b-lunch,12:00,70,7,15,22
a5-c,13:10,20,3,22,25
a6-c,13:30,20,3,25,28
a-break-2,13:50,10,1,28,29
b-break-2,13:50,10,1,28,29
a7-l,14:00,40,4,29,33
b7-l,14:00,40,4,29,33
handson,14:00,120,12,29,41
a8-s,14:40,20,2,33,35
b8-s,14:40,20,2,33,35
a-break-3,15:00,20,1,35,36
b-break-3,15:00,20,1,35,36
a9-s,15:20,20,2,36,38
b9-s,15:20,20,2,36,38
a10-s,15:40,20,2,38,40
b10-s,15:40,20,2,38,40
a11-s,16:00,20,2,40,42
b11-s,16:00,20,2,40,42
a-break-4,16:20,20,1,42,43
b-break-4,16:20,20,1,42,43
a12-s,16:30,20,2,43,45
b12-s,16:30,20,2,43,45
a13-s,16:50,20,2,45,47
b13-s,16:50,20,2,45,47
a14-s,17:10,20,2,47,49
b14-s,17:10,20,2,47,49
a-break-5,17:30,15,1,49,50
b-break-5,17:30,15,1,49,50
lt1,17:45,5,2,50,52
lt2,17:50,5,2,52,54
lt3,17:55,5,2,54,56
lt4,18:00,5,2,56,58
lt5,18:05,5,2,58,60
lt6,18:10,5,2,60,62
lt7,18:15,5,2,62,64
lt8,18:20,5,2,64,66
closing,18:35,20,1,66,67
